country_name,country_code,year,death_rate_per_1000
Afghanistan,AFG,2016,7.32
Afghanistan,AFG,2017,7.315
Afghanistan,AFG,2018,7.271
Afghanistan,AFG,2019,7.064
Afghanistan,AFG,2020,7.565
Afghanistan,AFG,2021,8.002
Afghanistan,AFG,2022,5.993
Afghanistan,AFG,2023,5.797
Afghanistan,AFG,2024,5.702
Albania,ALB,2016,7.288
Albania,ALB,2017,7.373
Albania,ALB,2018,7.375
Albania,ALB,2019,7.473
Albania,ALB,2020,9.08
Albania,ALB,2021,10.262
Albania,ALB,2022,8.709
Albania,ALB,2023,8.332
Albania,ALB,2024,8.457
Algeria,DZA,2016,4.647
Algeria,DZA,2017,4.66
Algeria,DZA,2018,4.667
Algeria,DZA,2019,4.681
Algeria,DZA,2020,5.988
Algeria,DZA,2021,4.96
Algeria,DZA,2022,4.602
Algeria,DZA,2023,4.641
Algeria,DZA,2024,4.618
American Samoa,ASM,2016,5.75
American Samoa,ASM,2017,5.846
American Samoa,ASM,2018,6.011
American Samoa,ASM,2019,6.191
American Samoa,ASM,2020,6.35
American Samoa,ASM,2021,6.583
American Samoa,ASM,2022,6.815
American Samoa,ASM,2023,7.021
American Samoa,ASM,2024,7.293
Andorra,AND,2016,5.412
Andorra,AND,2017,5.436
Andorra,AND,2018,5.48
Andorra,AND,2019,5.56
Andorra,AND,2020,8.285
Andorra,AND,2021,6.983
Andorra,AND,2022,5.948
Andorra,AND,2023,6.076
Andorra,AND,2024,6.139
Angola,AGO,2016,8.476
Angola,AGO,2017,8.192
Angola,AGO,2018,7.928
Angola,AGO,2019,7.701
Angola,AGO,2020,7.628
Angola,AGO,2021,7.619
Angola,AGO,2022,7.097
Angola,AGO,2023,6.925
Angola,AGO,2024,6.84
Antigua and Barbuda,ATG,2016,6.142
Antigua and Barbuda,ATG,2017,6.228
Antigua and Barbuda,ATG,2018,6.312
Antigua and Barbuda,ATG,2019,6.448
Antigua and Barbuda,ATG,2020,6.605
Antigua and Barbuda,ATG,2021,6.806
Antigua and Barbuda,ATG,2022,6.771
Antigua and Barbuda,ATG,2023,6.893
Antigua and Barbuda,ATG,2024,7.028
Argentina,ARG,2016,7.865
Argentina,ARG,2017,7.682
Argentina,ARG,2018,7.583
Argentina,ARG,2019,7.676
Argentina,ARG,2020,8.45
Argentina,ARG,2021,9.725
Argentina,ARG,2022,8.797
Argentina,ARG,2023,7.668
Argentina,ARG,2024,7.732
Armenia,ARM,2016,9.4
Armenia,ARM,2017,9.1
Armenia,ARM,2018,8.7
Armenia,ARM,2019,8.8
Armenia,ARM,2020,12.2
Armenia,ARM,2021,11.6
Armenia,ARM,2022,9.0
Armenia,ARM,2023,8.2
Armenia,ARM,2024,8.4
Aruba,ABW,2016,7.257
Aruba,ABW,2017,6.594
Aruba,ABW,2018,6.703
Aruba,ABW,2019,6.145
Aruba,ABW,2020,6.842
Aruba,ABW,2021,8.951
Aruba,ABW,2022,8.191
Aruba,ABW,2023,7.582
Aruba,ABW,2024,7.778
Australia,AUS,2016,6.6
Australia,AUS,2017,6.5
Australia,AUS,2018,6.3
Australia,AUS,2019,6.7
Australia,AUS,2020,6.3
Australia,AUS,2021,6.7
Australia,AUS,2022,7.3
Australia,AUS,2023,6.875
Australia,AUS,2024,6.884
Austria,AUT,2016,9.2
Austria,AUT,2017,9.5
Austria,AUT,2018,9.5
Austria,AUT,2019,9.4
Austria,AUT,2020,10.3
Austria,AUT,2021,10.3
Austria,AUT,2022,10.3
Austria,AUT,2023,9.8
Austria,AUT,2024,9.6
Azerbaijan,AZE,2016,5.8
Azerbaijan,AZE,2017,5.8
Azerbaijan,AZE,2018,5.8
Azerbaijan,AZE,2019,5.6
Azerbaijan,AZE,2020,7.5
Azerbaijan,AZE,2021,7.6
Azerbaijan,AZE,2022,6.0
Azerbaijan,AZE,2023,5.9
Azerbaijan,AZE,2024,5.8
"Bahamas, The",BHS,2016,7.94
"Bahamas, The",BHS,2017,8.12
"Bahamas, The",BHS,2018,8.276
"Bahamas, The",BHS,2019,9.321
"Bahamas, The",BHS,2020,9.523
"Bahamas, The",BHS,2021,11.259
"Bahamas, The",BHS,2022,8.558
"Bahamas, The",BHS,2023,8.713
"Bahamas, The",BHS,2024,8.77
Bahrain,BHR,2016,1.983
Bahrain,BHR,2017,1.987
Bahrain,BHR,2018,2.035
Bahrain,BHR,2019,2.104
Bahrain,BHR,2020,2.586
Bahrain,BHR,2021,2.804
Bahrain,BHR,2022,2.094
Bahrain,BHR,2023,2.089
Bahrain,BHR,2024,2.21
Bangladesh,BGD,2016,5.575
Bangladesh,BGD,2017,5.512
Bangladesh,BGD,2018,5.442
Bangladesh,BGD,2019,5.372
Bangladesh,BGD,2020,6.126
Bangladesh,BGD,2021,6.317
Bangladesh,BGD,2022,5.037
Bangladesh,BGD,2023,5.01
Bangladesh,BGD,2024,5.105
Barbados,BRB,2016,9.36
Barbados,BRB,2017,9.427
Barbados,BRB,2018,9.459
Barbados,BRB,2019,9.517
Barbados,BRB,2020,9.548
Barbados,BRB,2021,9.817
Barbados,BRB,2022,11.097
Barbados,BRB,2023,10.613
Barbados,BRB,2024,10.23
Belarus,BLR,2016,12.6
Belarus,BLR,2017,12.6
Belarus,BLR,2018,12.7
Belarus,BLR,2019,12.8
Belarus,BLR,2020,15.784
Belarus,BLR,2021,15.839
Belarus,BLR,2022,13.246
Belarus,BLR,2023,13.338
Belarus,BLR,2024,13.136
Belgium,BEL,2016,9.5
Belgium,BEL,2017,9.6
Belgium,BEL,2018,9.7
Belgium,BEL,2019,9.5
Belgium,BEL,2020,11.0
Belgium,BEL,2021,9.7
Belgium,BEL,2022,10.0
Belgium,BEL,2023,9.4
Belgium,BEL,2024,9.5
Belize,BLZ,2016,5.113
Belize,BLZ,2017,5.094
Belize,BLZ,2018,5.07
Belize,BLZ,2019,5.04
Belize,BLZ,2020,5.576
Belize,BLZ,2021,5.95
Belize,BLZ,2022,5.409
Belize,BLZ,2023,4.925
Belize,BLZ,2024,4.96
Benin,BEN,2016,9.783
Benin,BEN,2017,9.62
Benin,BEN,2018,9.477
Benin,BEN,2019,9.335
Benin,BEN,2020,9.17
Benin,BEN,2021,9.349
Benin,BEN,2022,8.948
Benin,BEN,2023,8.797
Benin,BEN,2024,8.71
Bermuda,BMU,2016,8.62
Bermuda,BMU,2017,8.691
Bermuda,BMU,2018,8.689
Bermuda,BMU,2019,8.705
Bermuda,BMU,2020,8.755
Bermuda,BMU,2021,8.762
Bermuda,BMU,2022,8.772
Bermuda,BMU,2023,8.858
Bermuda,BMU,2024,9.004
Bhutan,BTN,2016,6.568
Bhutan,BTN,2017,6.643
Bhutan,BTN,2018,6.48
Bhutan,BTN,2019,6.35
Bhutan,BTN,2020,6.275
Bhutan,BTN,2021,6.234
Bhutan,BTN,2022,6.143
Bhutan,BTN,2023,6.11
Bhutan,BTN,2024,6.065
Bolivia,BOL,2016,7.614
Bolivia,BOL,2017,7.591
Bolivia,BOL,2018,7.561
Bolivia,BOL,2019,7.555
Bolivia,BOL,2020,10.836
Bolivia,BOL,2021,11.791
Bolivia,BOL,2022,7.681
Bolivia,BOL,2023,7.172
Bolivia,BOL,2024,7.172
Bosnia and Herzegovina,BIH,2016,12.228
Bosnia and Herzegovina,BIH,2017,12.304
Bosnia and Herzegovina,BIH,2018,11.98
Bosnia and Herzegovina,BIH,2019,13.102
Bosnia and Herzegovina,BIH,2020,15.173
Bosnia and Herzegovina,BIH,2021,18.387
Bosnia and Herzegovina,BIH,2022,14.05
Bosnia and Herzegovina,BIH,2023,13.457
Bosnia and Herzegovina,BIH,2024,13.522
Botswana,BWA,2016,7.463
Botswana,BWA,2017,7.035
Botswana,BWA,2018,6.685
Botswana,BWA,2019,6.408
Botswana,BWA,2020,6.254
Botswana,BWA,2021,8.393
Botswana,BWA,2022,5.826
Botswana,BWA,2023,5.724
Botswana,BWA,2024,5.738
Brazil,BRA,2016,6.226
Brazil,BRA,2017,6.256
Brazil,BRA,2018,6.337
Brazil,BRA,2019,6.452
Brazil,BRA,2020,7.502
Brazil,BRA,2021,8.366
Brazil,BRA,2022,7.539
Brazil,BRA,2023,7.077
Brazil,BRA,2024,7.068
British Virgin Islands,VGB,2016,5.788
British Virgin Islands,VGB,2017,5.639
British Virgin Islands,VGB,2018,5.326
British Virgin Islands,VGB,2019,5.724
British Virgin Islands,VGB,2020,5.791
British Virgin Islands,VGB,2021,7.038
British Virgin Islands,VGB,2022,5.908
British Virgin Islands,VGB,2023,5.972
British Virgin Islands,VGB,2024,6.049
Brunei Darussalam,BRN,2016,4.381
Brunei Darussalam,BRN,2017,4.509
Brunei Darussalam,BRN,2018,4.641
Brunei Darussalam,BRN,2019,4.779
Brunei Darussalam,BRN,2020,4.922
Brunei Darussalam,BRN,2021,5.238
Brunei Darussalam,BRN,2022,6.559
Brunei Darussalam,BRN,2023,5.23
Brunei Darussalam,BRN,2024,5.335
Bulgaria,BGR,2016,15.6
Bulgaria,BGR,2017,16.1
Bulgaria,BGR,2018,16.2
Bulgaria,BGR,2019,16.3
Bulgaria,BGR,2020,19.0
Bulgaria,BGR,2021,22.9
Bulgaria,BGR,2022,18.4
Bulgaria,BGR,2023,15.7
Bulgaria,BGR,2024,15.6
Burkina Faso,BFA,2016,9.366
Burkina Faso,BFA,2017,9.077
Burkina Faso,BFA,2018,8.778
Burkina Faso,BFA,2019,8.564
Burkina Faso,BFA,2020,8.325
Burkina Faso,BFA,2021,8.435
Burkina Faso,BFA,2022,8.135
Burkina Faso,BFA,2023,7.964
Burkina Faso,BFA,2024,7.915
Burundi,BDI,2016,8.209
Burundi,BDI,2017,7.864
Burundi,BDI,2018,7.559
Burundi,BDI,2019,7.394
Burundi,BDI,2020,7.191
Burundi,BDI,2021,7.306
Burundi,BDI,2022,6.997
Burundi,BDI,2023,6.718
Burundi,BDI,2024,6.67
Cabo Verde,CPV,2016,5.15
Cabo Verde,CPV,2017,5.115
Cabo Verde,CPV,2018,5.162
Cabo Verde,CPV,2019,5.004
Cabo Verde,CPV,2020,5.886
Cabo Verde,CPV,2021,5.648
